# The freeze audit's trust root (ADR 0027). One row per issue in the committed
# snapshot (state=active) plus every issue this audit has resolved (state=resolved).
# BOTH tables in docs/freeze-audit.md are GENERATED from this file by
# render-audit.sh, and check-freeze-audit.sh fails if the page and a fresh render
# diverge. Do not edit the page's tables by hand.
#
# What moved on a frozen surface is NOT recorded here. It lives in
# surface-changes.tsv, one row per change, because a change is
# (surface, item, kind, before, after, commit, issues, legality) and issues and
# changes are many-to-many: one commit carried five issues and one issue caused
# two changes. Folding that into a single-valued column here lost four of the
# window's five closed-set additions in the first draft of this schema.
#
# Columns (tab-separated):
#   number              bare issue number, no '#'
#   state               active | resolved. An active row is an open issue in the
#                       committed snapshot; a resolved row is one this audit has
#                       seen closed. The gate counts active rows for completeness
#                       and requires a resolved row for every snapshot issue that
#                       has since closed.
#   what_it_is          the row's one-line description
#   surface_forecast    active rows only: which frozen surface resolving the issue
#                       AS FILED would move, space-separated, or 'none'. This is a
#                       FORECAST, not a measurement. '-' on resolved rows.
#                         config-format | report-schema | exit-codes
#                         | replay-compatibility | mcp-surface | none
#   surface_change_ids  resolved rows only: the change_id(s) in surface-changes.tsv
#                       this issue's resolution caused, 'none' if the surface diff
#                       found nothing attributable to it, or 'not-measured' when the
#                       issue closed BEFORE this sweep's window and no diff of this
#                       sweep says anything about it (the seventeen rows migrated
#                       from the 2026-08-17/18 sweeps). The first draft used 'none'
#                       for those too, and the render then read "measured: no frozen
#                       surface moved - yes - verdict soundness" on a row the older
#                       sweep had recorded as touching one. This IS a measurement
#                       where it says so - see ADR 0028's three rungs and what each
#                       can support. '-' on active rows.
#   surface_reason      why that forecast, or why none. Never empty.
#   class               A | B | C | D, on failure-direction grounds. Applies to
#                       every row, not only to touchers (owner ruling 2026-08-27).
#                         A  the gap can make PASS overclaim
#                         B  FAIL-side noise or precision
#                         C  ergonomics and diagnostics
#                         D  adversarial surface: the gap hands an attacker a
#                            capability against a consumer of the output or the
#                            operator's filesystem (owner ruling 2026-08-27; the
#                            five threat-model issues in this sweep fit none of
#                            A, B or C, and the historical rows had already
#                            resorted to 'A-adjacent' and 'C-shaped' twice)
#   disposition         allowed values depend on class. Class A is the restricted
#                       one, because it is the class prose cannot retire:
#                         A       -> fix, demote, narrow, measured-already-fixed,
#                                    duplicate
#                         B, C    -> fix, document, defer, tracked,
#                                    measured-already-fixed, duplicate
#                         D       -> the same as B and C, plus 'contain' (the
#                                    exposure is bounded by a stated operational
#                                    precondition rather than removed)
#                       'after-1.0' means the owner scheduled the work outside
#                       v1.0's scope, so the tag does not leave a frozen surface
#                       broken by it. NOTE THE ASYMMETRY: class A cannot take it.
#                       Scheduling a PASS-overclaim gap out of the release IS the
#                       outcome class A forbids, and an enum that accepted it there
#                       would let the one clause with teeth be satisfied by a
#                       calendar. It replaced 'defer' on the four open after-1.0
#                       rows because 'defer' is defined as deferral to 1.x, and
#                       these are deferred PAST the frozen contract's life --
#                       seven issues with one adjudication were carrying two words.
#                       Migrating the seventeen historical resolved rows is what
#                       showed this set had been written from the thirteen active
#                       ones alone: it had no room for 'document' on a C row
#                       (#12), for 'measured-already-fixed' outside class A (#6,
#                       #13), or for a duplicate (#165).
#   rationale           the prose that follows the disposition; '-' for none,
#                       never an empty trailing field.
number	state	what_it_is	surface_forecast	surface_change_ids	surface_reason	class	disposition	rationale
39	active	libc conveniences that mutate state behind the PLT (mkstemp family)	none	-	observation reach is not one of the five; what it bears on is PASS soundness, which is why this row carries a class without touching a surface	A	narrow	on Linux the class fails closed through the oracle (sound today); the narrowing itself is written in docs/target-classes.md under "Internal libc calls that mutate state" (measured 2026-08-22 on spike/toys/toy_mkstemp.c), and the issue stays open as the mkstemp family's lookout post
62	active	loop-closure stage clones the full upstream	none	-	apparatus weight	C	defer	-
63	active	the agent-side seal has never been seen red	none	-	experiment apparatus	C	defer	-
64	active	secondary observations lack a committed generator	none	-	apparatus	C	defer	-
65	active	invariant and leg-C predicate hand-synced across spike/	none	-	apparatus	C	defer	-
118	active	assisted-discovery product thesis	none	-	product tracking, open by owner ruling	C	tracked	stays open
123	active	the judge cannot follow a target across execve	none	-	implementing it is a trace-contract event, and surface 4 says in as many words that a future trace-contract bump is not a broken promise	C	after-1.0	with the recorded reading: the single-pid exec chain is already judged under the contract of its day, and a bump refuses old cases with the mismatch named
147	active	outcome-map.tsv overcounts reported-upstream rows	none	-	evidence-page correction	C	tracked	stays open; the fix is independent of any frozen surface
156	resolved	`--oracle` + `--allow-unverified` accepted and inert	-	none	reading taken by the fourth sweep, 2026-08-29: no — CLI acceptance semantics are not surface 1, which freezes the toml keys and the two command spellings	C	document	~~defer~~ **Closed 2026-08-29, the issue's own closing condition fired**: its text said that if the freeze audit closed without the change, the accepted-but-inert behaviour freezes as-is. #86 closed and v1.0.0 was tagged 2026-08-29, so it did. Nothing new was written to close it — the permanence note was already published in this row, the owner reconfirmed the deferral on 2026-08-18, and the behaviour itself is stated on `docs/report-schema.md` (`oracle_verified` is false for `--allow-unverified` with no oracle) and in README. Closed as documented, not as fixed; making the combo refuse is a 2.0 question, and the reason it cannot be a 1.x one is this row's own note
161	active	release glibc floor inherited, not chosen	none	-	release engineering, outside the five surfaces	C	defer	worth deciding before 1.0, not contract-bound
199	active	preflight cannot see nondeterminism: a property of two runs, from one observed run	none	-	a new preflight mode or subcommand is CLI surface, which surface 1 does not freeze (it freezes the toml keys and the define's two command spellings); the issue says so itself and states that no change to the recording contract, the report schema or the closed set is required	C	defer	The cheapest fact about a target is currently learned the most expensive way.
201	resolved	statically-linked targets: the oracle sees them, the kill injector cannot reach them	-	none	an after-1.0 scheduling ruling; the wall record lives in docs/target-classes.md, outside the five surfaces	C	after-1.0	Closed 2026-08-27 as scheduled out of v1.0, not as resolved (state reason not-planned). The owner's 2026-08-21 ruling is in the issue's own text and the after-1.0 label; the statically-linked wall row (Jujutsu, no_shim_marker) stays in docs/target-classes.md and does not close with the issue.
202	resolved	threaded targets: kill points lose their address under interleaving	-	none	an after-1.0 scheduling ruling; the wall record lives in docs/target-classes.md, outside the five surfaces	C	after-1.0	Closed 2026-08-27 as scheduled out of v1.0, not as resolved (state reason not-planned). The owner's 2026-08-21 ruling called it the deepest of the three reach walls, touching the determinism contract's core; the multi-threaded wall row (Bun, multiple_threads_detected) stays in docs/target-classes.md.
