change_id	surface	item	kind	before	after	commit	issues	legality	evidence
sc-01	report-schema	unknown_reason/child_wait_failed	add	-	present	9f04932	264	pre-tag-required	Attributed to #264 (a failed waitpid decoding as exit 0), not to the whole commit: 9f04932 also carries #271 and #273, whose subjects are the upstream-report script and --help. The closed set is excluded from surface 2's additive allowance by name, so a member gained after the tag is breaking; this landed before it.
sc-02	report-schema	unknown_reason/parent_exited	add	-	present	7ed5c97	269	pre-tag-required	Same exemption. Added with the orphaned-exploration stop, which needed a reason nothing existing covered.
sc-03	report-schema	unknown_reason/trace_too_large	add	-	present	0e035eb	324	pre-tag-required	Attributed to #324 (the uncapped readTrace), not to #320, which rode the same commit and caused sc-11 instead. #324's text names neither unknown_reason nor the closed set: the surface moved in the resolution, not the issue. This row is why the audit's surface column stopped being a reading.
sc-04	report-schema	unknown_reason/state_file_too_large	add	-	present	3d337bc	330	pre-tag-required	Same exemption. #330 names the closed set in its own text, unlike #324, and named this member as the likely spelling.
sc-05	report-schema	unknown_reason/state_unsnapshotable	add	-	present	c210650	351	pre-tag-required	Same exemption, under an explicit owner ruling recorded in #351 that the member be added before the tag.
sc-06	report-schema	field/checker_earliest	add	-	present	8b75ad7	231	additive-allowed	A new optional top-level field, which surface 2 permits in any 1.x release; #231 checked the change against docs/contract-freeze.md before landing it, which is the allowance working as written. Coarse measure: the field carries eight fields beneath it, whose presence rules are rung-3 residue.
sc-07	replay-compatibility	contract_version	bump	10	11	36a5b73	244 256	declared-not-a-break	Two causes, both real: #244 exported the kernel copy primitives and #256 the three missing wrappers, and either alone requires the bump. Surface 4 says in as many words that a future trace-contract bump is not a broken promise.
sc-08	replay-compatibility	contract_version	bump	11	12	975e2fd	333	declared-not-a-break	Attributed to #333 (fcopyfile interposition on macOS). #336 rode the same commit but its subject is the MCP provenance advisory and it required no trace change. Invisible to git log -S because the line's text is unchanged; found with -G.
sc-09	exit-codes	help-exit-code	semantic	3	0	9f04932	273	declaration-amended	The ExitCode enum is byte-identical across the window, so no enumerated diff sees this: what moved is which path returns which code. This is the measured proof that an enum diff is not a measurement of surface 3.
sc-10	exit-codes	per-mode-help-exit-code	semantic	3	0	306413d	296	declaration-amended	A second movement of the same kind, extending #273's change to help after a mode word. Attributed to #296; #297 rode the same commit with an unrelated subject. Also invisible to an enumerated diff.
sc-11	report-schema	declaration-text	semantic	no additive rule stated	additive allowance plus an explicit closed-set exemption	0e035eb	320	declaration-amended	The normative text gained the rule most of this sweep's readings lean on, and it did NOT exist when the snapshot being replaced was taken. Note the direction before reading circularity into it: the same commit that landed sc-03 wrote the sentence exempting the closed set from the allowance, which binds its own change to pre-tag rather than excusing it.
sc-12	exit-codes	declaration-text	semantic	0 PASS 1 FAIL 2 UNKNOWN 3 SETUP_ERROR	a one-way verdict-to-code promise; exit 0 not reserved to PASS	9f04932	273	declaration-amended	Rewritten by the same commit as sc-09, the change it legalises. The rewrite narrows what a verdict may return rather than loosening it, but the audit records that the rule and the change arrived together.
sc-13	replay-compatibility	declaration-text	semantic	two conditions split across two reason names	both answer case_no_longer_applies; contract_version_mismatch is a different refusal entirely	975e2fd	-	declaration-amended	No issue edge: a correction made in passing while landing #333, and attributing it to #333 would be association rather than cause. What matters is the content — the previous text was measured against the code and found WRONG, so a declaration the audit reads strictly against carried a false statement for the whole life of the snapshot being replaced.
sc-14	report-schema	unknown_reason/state_tree_too_large	add	-	present	ab8c688	323	pre-tag-required	Same exemption as sc-01..sc-05: the closed set is outside the additive allowance, so the member could only land before the tag. Attributed to #323 (the unbounded state-tree total), whose own active row forecast this exact drift — the member was implemented and unmerged when the 2026-08-27 sweep measured, so the pin predates it by design. The refusal names the total it had read and the largest contributors, the limit-reporting rule of #330/#351.
sc-15	report-schema	unknown_reason/state_rewrite_failed	add	-	present	42434cc	363	pre-tag-required	Same exemption. Attributed to #363 Group B: the engine failing to rewrite the state tree it recorded, after the define has run, needed a name no existing member carried honestly — named for the rewrite rather than the restore, because a probe can corrupt immediately after a restore that succeeded. The pre-define case (replay --fresh-state emptying) stays exit 3 and cost nothing.
sc-16	exit-codes	rewrite-failure-exit-code	semantic	3	2	42434cc	363	declared-not-a-break	The movement class of sc-09/sc-10: which path returns which code, invisible to an enumerated diff (the ExitCode enum is unchanged across the change). Three post-define rewrite-failure sites moved from exit 3 to exit 2 — a movement the declaration's own clause, exit 3 means the define did not run, required rather than merely permits: the previous behaviour violated that clause, and the one-way verdict-to-code promise (sc-12's text) holds on both sides.
sc-17	report-schema	unknown_reason/child_timed_out	add	-	present	75e8003	-	pre-tag-required	Same exemption. Caused by the first half of #263: a world's operation the engine still observes running after its --world-timeout budget expires is sent SIGKILL and refused under this member. The issues column reads - not because no issue caused it but because this ledger's issue edge is carried by resolved rows and #263 stays open on its second question (stdin for every child); when #263 closes, its resolved row owes the back-reference here. The name is wider than the mechanism because the set freezes while the mechanism does not.
