# Which check pins which clause of docs/contract-freeze.md (#369, ADR 0028 rung 3).
#
# Why this exists: rung 3 used to print the residue as prose — five paragraphs
# saying "these are held by review and by spike/acceptance.sh". That sentence is
# not false, but a reader cannot tell, for any given clause, whether a check
# watches it or nobody does. This file answers that per clause, and rung 3 prints
# only the rows where the answer is "nobody" or "not all of it".
#
# It is a manifest in the same sense audit.tsv is: the file is the trust root and
# the output is generated from it. Not folded into audit.tsv (one row = one issue)
# or surface-changes.tsv (one row = one change) because the unit here is a clause,
# and both of those files state their unit in their own header.
#
# Columns (tab-separated):
#   clause_id    stable handle, sN-slug. Referenced by rung 3's output.
#   surface      1..5, matching the numbered sections of contract-freeze.md, or 0
#                for a clause that spans them — the preamble carries one.
#   clause       VERBATIM substring of docs/contract-freeze.md. Not a paraphrase:
#                a summary cannot be checked against the declaration, and this
#                column is the only thing tying a row to the text it claims to
#                describe. Blob read when this file was written: 0e51b5c1.
#   held         pinned | partial | unpinned.
#                  pinned    a check asserts the clause
#                  partial   a check asserts some of it; `gap` says what is left
#                  unpinned  nothing here asserts it
#                THREE values, not two. Two would force every partial row to read
#                as pinned, which is the exact misreading #369 was filed about.
#   by           for pinned/partial: the suite and the heading line that anchors
#                it, as `<suite>::<heading>`. A heading, not an id, for two
#                reasons: `check 2s` and `check 2t` each appear twice in
#                acceptance.sh, so an id does not identify a check; and a heading
#                is a string rung 3 can look for, which turns a stale row into a
#                loud failure rather than a quiet lie. `-` when unpinned.
#   gap          for partial: what the check does NOT assert. `-` otherwise.
#
# WHAT THIS FILE DOES NOT CLAIM. That the enumeration is complete. A clause is
# "one independently checkable assertion", which matches no mechanical boundary
# in the declaration — not a line, not a sentence, not a paragraph. There is no
# second, independent way to count them, so no check can compare this file's rows
# against the source and find a missing one. The `clause` column is verbatim so a
# row cannot describe text that is not there; the reverse direction is held by
# review. Read the per-surface counts in rung 3's output with that in mind.
#
# That is not a theoretical limit, and the first delivery measured it. The file
# shipped at 26 rows and was three short: the declaration's claim that the listed
# keys and the code's accepted set "stay the same list", `sc-18`'s legality
# reading `freeze-broken`, and `contract_version_mismatch` being a different
# refusal from a saved case's. All three are normative and mechanically
# checkable, all three were found by a second reader walking the declaration
# sentence by sentence against the rows, and none of the gates went red. A fourth
# row, `s1-string-form`, named a check that drives half of its clause. If you are
# adding a clause here, the walk is the only instrument there is.
#
# Two suites are consulted: spike/acceptance.sh (69 checks) and
# spike/mcp-acceptance.sh. Surface 5 lives entirely in the second — reading only
# the first would have marked all four of its clauses unpinned, which is the same
# error as calling an unread clause unheld.
#
clause_id	surface	clause	held	by	gap
s0-breaking	0	from then on, changing any of them is a breaking change	partial	spike/freeze-audit/check-freeze-audit.sh::legality %s is not one of the five recorded	the gate holds the legality column to a closed set of values; whether a given movement really was breaking is an adjudication recorded per change, not something a check decides
s1-keys	1	`[world] state`; `[define] setup`, `operation`,	partial	spike/acceptance.sh::check 2x: sideeye.toml is the define surface, and it fails closed	the check drives the boundary of the accepted set (unknown keys refuse); it does not exercise each accepted key in turn
s1-same-list	1	than left to the code so the frozen surface and the accepted set stay the	unpinned	-	-
s1-string-form	1	form with its split-on-spaces, no-quoting rule	partial	spike/acceptance.sh::check 2ab: the argv form spells what split-on-space cannot (#95, ADR 0019)	the negative control drives the split-on-spaces half: the string form cannot spell a spaced argument, and the recording run fails. No case anywhere in either suite gives the string form an embedded quote, so the no-quoting half of the same sentence is never exercised
s1-argv-form	1	the argv form — one	pinned	spike/acceptance.sh::check 2ab: the argv form spells what split-on-space cannot (#95, ADR 0019)	-
s1-refusals	1	Unknown keys,	pinned	spike/acceptance.sh::check 2x: sideeye.toml is the define surface, and it fails closed	-
s1-relative-paths	1	relative paths resolve against the toml's directory	partial	spike/acceptance.sh::check 2x: sideeye.toml is the define surface, and it fails closed	the check writes `state = "./state"` beside the toml and requires the same verdict as the flag form, which a cwd-relative resolution would not produce; it does not exercise a toml outside the working directory, which is where the two rules visibly diverge
s1-additive	1	Additive keys remain possible; changing the meaning of an	unpinned	-	-
s2-fields	2	The fields, presence rules and `unknown_reason` closed	pinned	spike/acceptance.sh::check 4: the report schema page is held to the generated reports	-
s2-prose-may-move	2	The account fields' prose may	unpinned	-	-
s2-additive	2	Additive extension stays open (#320): a new optional field may appear in a	unpinned	-	-
s2-closed-set	2	The `unknown_reason` closed set is **not** covered by that	pinned	spike/acceptance.sh::check 4: the report schema page is held to the generated reports	-
s2-amendment	2	`state_changed_unaccounted` was added after the tag, taking the set	partial	spike/acceptance.sh::check 2af: a change no operation names is refused (#405)	the check exercises the new member's refusal; that the rule for 1.x is unchanged, and that the next member needs its own ruling, are claims about future decisions and are held by review
s2-sc18-legality	2	`sc-18`'s `legality` reads `freeze-broken` for exactly that	unpinned	-	-
s3-verdict-codes	3	fixed: 0 PASS, 1 FAIL, 2 UNKNOWN, 3 SETUP_ERROR	partial	spike/acceptance.sh::check 2: outside the boundary	the named check asserts rc 2 for UNKNOWN and nothing else; PASS=0, FAIL=1 and SETUP_ERROR=3 are each driven elsewhere in the suite, so no single check holds the mapping as a whole
s3-unknown-never-zero	3	and UNKNOWN is never 0	pinned	spike/acceptance.sh::check 2: outside the boundary	-
